#      Train        Test
     3.94361        3.167 
     3.77712      3.38003 
     4.11922       3.7744 
     3.71603      3.12516 
     3.92378      3.16859 
     3.96888      3.25947 
     3.79771      3.43271 
     3.94422      3.01222 
        4.11      3.41946 
     3.96082      3.26686 
     3.87958      3.87156 
     4.02808      4.02679 
     4.05538      3.63215 
     3.92162      3.84787 
     3.78693      4.65223 
     3.89533      3.81776 
     3.89081      3.38591 
     4.00563      3.01219 
     4.28815      3.68184 
      3.9708        3.049 
     3.94131      3.42878 
     3.85607      3.00708 
     3.90349      2.86179 
     4.29487      2.86592 
     3.88492      2.74574 
     3.68917      3.24882 
      3.7145      2.93268 
     3.92535      3.19858 
     3.93734      2.94461 
     3.93981      2.86268 
     4.23591      3.96744 
     3.95678      4.38049 
     3.80604      2.90434 
     3.83645      2.96927 
     3.93309      3.34601 
     3.93999      3.30373 
     3.70778      4.68361 
     4.08892      3.31985 
     3.69968      3.81731 
     3.56756      3.11253 
     4.10029       3.3094 
      4.0116      2.92686 
     3.92581      2.69235 
     3.72346      2.92654 
     3.92192      3.11831 
     3.76323       3.0016 
     3.74822      3.01498 
     3.75374      3.14234 
     4.18124      2.74934 
     3.90658      2.92696 
     3.77972      3.29341 
      3.7851      3.04245 
     3.80344      2.91707 
     3.92224       2.9861 
     3.71662      2.94495 
     4.02143      3.04898 
     3.93216      3.03131 
